Country Name,Country Code,Indicator Name,Indicator Code,year_int,value
Sweden,SWE,Government Effectiveness: Estimate,GE.EST,2000,1.87932634353638
Sweden,SWE,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2000,1.39177203178406
Sweden,SWE,Regulatory Quality: Estimate,RQ.EST,2000,1.34945940971375
Sweden,SWE,Rule of Law: Estimate,RL.EST,2000,1.8001868724823
Sweden,SWE,Voice and Accountability: Estimate,VA.EST,2000,1.57328855991364
Austria,AUT,Control of Corruption: Estimate,CC.EST,2002,1.91515922546387
Austria,AUT,Government Effectiveness: Estimate,GE.EST,2002,1.88022816181183
Austria,AUT,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2002,1.35895538330078
Austria,AUT,Regulatory Quality: Estimate,RQ.EST,2002,1.5380562543869
Austria,AUT,Rule of Law: Estimate,RL.EST,2002,1.85791265964508
Austria,AUT,Voice and Accountability: Estimate,VA.EST,2002,1.30749690532684
Belgium,BEL,Control of Corruption: Estimate,CC.EST,2002,1.45780158042908
Belgium,BEL,Government Effectiveness: Estimate,GE.EST,2002,1.91511082649231
Belgium,BEL,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2002,1.26080238819122
Belgium,BEL,Regulatory Quality: Estimate,RQ.EST,2002,1.25418055057526
Belgium,BEL,Rule of Law: Estimate,RL.EST,2002,1.34493565559387
Belgium,BEL,Voice and Accountability: Estimate,VA.EST,2002,1.37745249271393
Bulgaria,BGR,Control of Corruption: Estimate,CC.EST,2002,-0.171931698918343
Bulgaria,BGR,Government Effectiveness: Estimate,GE.EST,2002,0.173596397042274
Bulgaria,BGR,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2002,0.467512369155884
Bulgaria,BGR,Regulatory Quality: Estimate,RQ.EST,2002,0.527679920196533
Bulgaria,BGR,Rule of Law: Estimate,RL.EST,2002,-0.0560499913990498
Bulgaria,BGR,Voice and Accountability: Estimate,VA.EST,2002,0.52853125333786
Croatia,HRV,Control of Corruption: Estimate,CC.EST,2002,0.225011631846428
Croatia,HRV,Government Effectiveness: Estimate,GE.EST,2002,0.328575700521469
Croatia,HRV,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2002,0.628807723522186
Croatia,HRV,Regulatory Quality: Estimate,RQ.EST,2002,0.294281095266342
Croatia,HRV,Rule of Law: Estimate,RL.EST,2002,-0.144792929291725
Croatia,HRV,Voice and Accountability: Estimate,VA.EST,2002,0.55671101808548
Cyprus,CYP,Control of Corruption: Estimate,CC.EST,2002,1.12628424167633
Cyprus,CYP,Government Effectiveness: Estimate,GE.EST,2002,1.29533743858337
Cyprus,CYP,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2002,0.199420601129532
Cyprus,CYP,Regulatory Quality: Estimate,RQ.EST,2002,1.19338965415955
Cyprus,CYP,Rule of Law: Estimate,RL.EST,2002,0.989593505859375
Cyprus,CYP,Voice and Accountability: Estimate,VA.EST,2002,1.1171190738678
Czechia,CZE,Control of Corruption: Estimate,CC.EST,2002,0.358057916164398
Czechia,CZE,Government Effectiveness: Estimate,GE.EST,2002,0.921997308731079
Czechia,CZE,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2002,1.04410064220428
Czechia,CZE,Regulatory Quality: Estimate,RQ.EST,2002,1.11261796951294
Czechia,CZE,Rule of Law: Estimate,RL.EST,2002,0.859825134277344
Czechia,CZE,Voice and Accountability: Estimate,VA.EST,2002,1.01640355587006
Denmark,DNK,Control of Corruption: Estimate,CC.EST,2002,2.31065106391907
Denmark,DNK,Government Effectiveness: Estimate,GE.EST,2002,2.0240433216095
Denmark,DNK,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2002,1.5242440700531
Denmark,DNK,Regulatory Quality: Estimate,RQ.EST,2002,1.71136832237244
Denmark,DNK,Rule of Law: Estimate,RL.EST,2002,1.88234078884125
Denmark,DNK,Voice and Accountability: Estimate,VA.EST,2002,1.53286790847778
Estonia,EST,Control of Corruption: Estimate,CC.EST,2002,0.739191174507141
Estonia,EST,Government Effectiveness: Estimate,GE.EST,2002,0.66788649559021
Estonia,EST,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2002,0.927854418754578
Estonia,EST,Regulatory Quality: Estimate,RQ.EST,2002,1.26314008235931
Estonia,EST,Rule of Law: Estimate,RL.EST,2002,0.791837811470032
Estonia,EST,Voice and Accountability: Estimate,VA.EST,2002,1.0729513168335
Finland,FIN,Control of Corruption: Estimate,CC.EST,2002,2.36900973320007
Finland,FIN,Government Effectiveness: Estimate,GE.EST,2002,2.09640264511108
Finland,FIN,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2002,1.7531840801239
Finland,FIN,Regulatory Quality: Estimate,RQ.EST,2002,1.81565344333649
Finland,FIN,Rule of Law: Estimate,RL.EST,2002,1.90388894081116
Finland,FIN,Voice and Accountability: Estimate,VA.EST,2002,1.55290365219116
France,FRA,Control of Corruption: Estimate,CC.EST,2002,1.19158518314362
France,FRA,Government Effectiveness: Estimate,GE.EST,2002,1.54408168792725
France,FRA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2002,0.924183249473572
France,FRA,Regulatory Quality: Estimate,RQ.EST,2002,0.975888848304749
France,FRA,Rule of Law: Estimate,RL.EST,2002,1.21287262439728
France,FRA,Voice and Accountability: Estimate,VA.EST,2002,1.15434229373932
Germany,DEU,Control of Corruption: Estimate,CC.EST,2002,1.88874363899231
Germany,DEU,Government Effectiveness: Estimate,GE.EST,2002,1.66001808643341
Germany,DEU,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2002,1.09601747989655
Germany,DEU,Regulatory Quality: Estimate,RQ.EST,2002,1.51094317436218
Germany,DEU,Rule of Law: Estimate,RL.EST,2002,1.63438987731934
Germany,DEU,Voice and Accountability: Estimate,VA.EST,2002,1.41403138637543
Greece,GRC,Control of Corruption: Estimate,CC.EST,2002,0.403180629014969
Greece,GRC,Government Effectiveness: Estimate,GE.EST,2002,0.776045680046082
Greece,GRC,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2002,0.872591853141785
Greece,GRC,Regulatory Quality: Estimate,RQ.EST,2002,0.946032047271729
Greece,GRC,Rule of Law: Estimate,RL.EST,2002,0.723845243453979
Greece,GRC,Voice and Accountability: Estimate,VA.EST,2002,1.0480192899704
Hungary,HUN,Control of Corruption: Estimate,CC.EST,2002,0.574014663696289
Hungary,HUN,Government Effectiveness: Estimate,GE.EST,2002,0.991949141025543
Hungary,HUN,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2002,1.26067221164703
Hungary,HUN,Regulatory Quality: Estimate,RQ.EST,2002,1.25909173488617
Hungary,HUN,Rule of Law: Estimate,RL.EST,2002,0.868621826171875
Hungary,HUN,Voice and Accountability: Estimate,VA.EST,2002,1.15602231025696
Ireland,IRL,Control of Corruption: Estimate,CC.EST,2002,1.36862599849701
Ireland,IRL,Government Effectiveness: Estimate,GE.EST,2002,1.57149362564087
Ireland,IRL,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2002,1.50421679019928
Ireland,IRL,Regulatory Quality: Estimate,RQ.EST,2002,1.71949744224548
Ireland,IRL,Rule of Law: Estimate,RL.EST,2002,1.5953254699707
Ireland,IRL,Voice and Accountability: Estimate,VA.EST,2002,1.27081513404846
Italy,ITA,Control of Corruption: Estimate,CC.EST,2002,0.523466825485229
Italy,ITA,Government Effectiveness: Estimate,GE.EST,2002,0.753255426883698
Italy,ITA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2002,0.838429808616638
Italy,ITA,Regulatory Quality: Estimate,RQ.EST,2002,0.904300689697266
Italy,ITA,Rule of Law: Estimate,RL.EST,2002,0.740141987800598
Italy,ITA,Voice and Accountability: Estimate,VA.EST,2002,1.03865301609039
Latvia,LVA,Control of Corruption: Estimate,CC.EST,2002,0.0108463577926159
Latvia,LVA,Government Effectiveness: Estimate,GE.EST,2002,0.486781418323517
Latvia,LVA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2002,0.94435715675354
Latvia,LVA,Regulatory Quality: Estimate,RQ.EST,2002,0.88353967666626
Latvia,LVA,Rule of Law: Estimate,RL.EST,2002,0.310219883918762
Latvia,LVA,Voice and Accountability: Estimate,VA.EST,2002,0.837780058383942
Lithuania,LTU,Control of Corruption: Estimate,CC.EST,2002,0.208880379796028
Lithuania,LTU,Government Effectiveness: Estimate,GE.EST,2002,0.494154572486877
Lithuania,LTU,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2002,0.893210649490356
Lithuania,LTU,Regulatory Quality: Estimate,RQ.EST,2002,1.07702922821045
Lithuania,LTU,Rule of Law: Estimate,RL.EST,2002,0.397895067930222
Lithuania,LTU,Voice and Accountability: Estimate,VA.EST,2002,0.904892265796661
Luxembourg,LUX,Control of Corruption: Estimate,CC.EST,2002,2.01014494895935
Luxembourg,LUX,Government Effectiveness: Estimate,GE.EST,2002,1.97525644302368
Luxembourg,LUX,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2002,1.63791656494141
Luxembourg,LUX,Regulatory Quality: Estimate,RQ.EST,2002,1.86433672904968
Luxembourg,LUX,Rule of Law: Estimate,RL.EST,2002,1.87056970596313
Luxembourg,LUX,Voice and Accountability: Estimate,VA.EST,2002,1.40829694271088
Malta,MLT,Control of Corruption: Estimate,CC.EST,2002,0.774747252464294
Malta,MLT,Government Effectiveness: Estimate,GE.EST,2002,1.05014824867249
Malta,MLT,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2002,1.59826338291168
Malta,MLT,Regulatory Quality: Estimate,RQ.EST,2002,1.06088125705719
Malta,MLT,Rule of Law: Estimate,RL.EST,2002,1.47494268417358
Malta,MLT,Voice and Accountability: Estimate,VA.EST,2002,1.16790759563446
Netherlands,NLD,Control of Corruption: Estimate,CC.EST,2002,2.06836199760437
Netherlands,NLD,Government Effectiveness: Estimate,GE.EST,2002,1.93344473838806
Netherlands,NLD,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2002,1.30267989635468
Netherlands,NLD,Regulatory Quality: Estimate,RQ.EST,2002,1.81920921802521
Netherlands,NLD,Rule of Law: Estimate,RL.EST,2002,1.7072594165802
Netherlands,NLD,Voice and Accountability: Estimate,VA.EST,2002,1.4694139957428
Poland,POL,Control of Corruption: Estimate,CC.EST,2002,0.381513625383377
Poland,POL,Government Effectiveness: Estimate,GE.EST,2002,0.454926639795303
Poland,POL,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2002,0.743997812271118
Poland,POL,Regulatory Quality: Estimate,RQ.EST,2002,0.650061428546906
Poland,POL,Rule of Law: Estimate,RL.EST,2002,0.670436203479767
Poland,POL,Voice and Accountability: Estimate,VA.EST,2002,1.08781957626343
Portugal,PRT,Control of Corruption: Estimate,CC.EST,2002,1.21802008152008
Portugal,PRT,Government Effectiveness: Estimate,GE.EST,2002,1.15235102176666
Portugal,PRT,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2002,1.4370481967926
Portugal,PRT,Regulatory Quality: Estimate,RQ.EST,2002,1.24720525741577
Portugal,PRT,Rule of Law: Estimate,RL.EST,2002,1.30751407146454
Portugal,PRT,Voice and Accountability: Estimate,VA.EST,2002,1.30454540252686
Romania,ROU,Control of Corruption: Estimate,CC.EST,2002,-0.440713196992874
Romania,ROU,Government Effectiveness: Estimate,GE.EST,2002,-0.196587815880775
Romania,ROU,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2002,0.464840322732925
Romania,ROU,Regulatory Quality: Estimate,RQ.EST,2002,0.0457017906010151
Romania,ROU,Rule of Law: Estimate,RL.EST,2002,-0.265604585409164
Romania,ROU,Voice and Accountability: Estimate,VA.EST,2002,0.386146128177643
Slovak Republic,SVK,Control of Corruption: Estimate,CC.EST,2002,-0.050633929669857
Slovak Republic,SVK,Government Effectiveness: Estimate,GE.EST,2002,0.540845692157745
Slovak Republic,SVK,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2002,0.940030038356781
Slovak Republic,SVK,Regulatory Quality: Estimate,RQ.EST,2002,0.90390557050705
Slovak Republic,SVK,Rule of Law: Estimate,RL.EST,2002,0.285690128803253
Slovak Republic,SVK,Voice and Accountability: Estimate,VA.EST,2002,0.976482391357422
Slovenia,SVN,Control of Corruption: Estimate,CC.EST,2002,0.773913145065308
Slovenia,SVN,Government Effectiveness: Estimate,GE.EST,2002,0.789837002754211
Slovenia,SVN,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2002,1.30383324623108
Slovenia,SVN,Regulatory Quality: Estimate,RQ.EST,2002,0.851863026618958
Slovenia,SVN,Rule of Law: Estimate,RL.EST,2002,0.883090198040009
Slovenia,SVN,Voice and Accountability: Estimate,VA.EST,2002,1.13046002388
Spain,ESP,Control of Corruption: Estimate,CC.EST,2002,1.31682515144348
Spain,ESP,Government Effectiveness: Estimate,GE.EST,2002,1.78612041473389
Spain,ESP,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2002,0.438226073980331
Spain,ESP,Regulatory Quality: Estimate,RQ.EST,2002,1.32903218269348
Spain,ESP,Rule of Law: Estimate,RL.EST,2002,1.22893154621124
Spain,ESP,Voice and Accountability: Estimate,VA.EST,2002,1.27498733997345
Sweden,SWE,Control of Corruption: Estimate,CC.EST,2002,2.20039749145508
Sweden,SWE,Government Effectiveness: Estimate,GE.EST,2002,1.96259272098541
Sweden,SWE,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2002,1.47525751590729
Sweden,SWE,Regulatory Quality: Estimate,RQ.EST,2002,1.59024393558502
Sweden,SWE,Rule of Law: Estimate,RL.EST,2002,1.84246826171875
Sweden,SWE,Voice and Accountability: Estimate,VA.EST,2002,1.50778388977051
Austria,AUT,Control of Corruption: Estimate,CC.EST,2003,1.96386861801147
Austria,AUT,Government Effectiveness: Estimate,GE.EST,2003,1.93046128749847
Austria,AUT,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2003,0.962002456188202
Austria,AUT,Regulatory Quality: Estimate,RQ.EST,2003,1.53713607788086
Austria,AUT,Rule of Law: Estimate,RL.EST,2003,1.84791743755341
Austria,AUT,Voice and Accountability: Estimate,VA.EST,2003,1.34388208389282
Belgium,BEL,Control of Corruption: Estimate,CC.EST,2003,1.37511277198792
Belgium,BEL,Government Effectiveness: Estimate,GE.EST,2003,1.86878955364227
Belgium,BEL,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2003,0.85823780298233
Belgium,BEL,Regulatory Quality: Estimate,RQ.EST,2003,1.28162622451782
Belgium,BEL,Rule of Law: Estimate,RL.EST,2003,1.33109652996063
Belgium,BEL,Voice and Accountability: Estimate,VA.EST,2003,1.47829031944275
